CreatedDateTime; LastModBy; Priority; ResolvedDateTime; Task via JournalAssocTaskAssignment (0...N : 0...1).CreatedDateTime; Details; Task via JournalAssocTaskAssignment (0...N : 0...1).Subject; AssignmentID; NotesBody; IncidentLocation; LastModDateTime; Incident Number
1/17/19 11:09; MARTIN_NIELSON; 1; 1/17/19 11:09; 1/17/19 8:26; "Caller reports that they can not call in or out at Stiles Point;  the phones do not have dial tones. When dialing in;  the technician only gets a busy signal. Mrs. Webster reported that a technician from AT&T was out working at the school yesterday."; Phones Down at Stiles Point; 80407; AT&T repaired the PRI circuit.; Stiles Point Elementary; 1/17/19 11:09; 134065
1/17/19 9:58; JOHN_DINGES; 1; 1/17/19 9:58; 1/17/19 9:05; "Caller reports that they can not call in or out at Stiles Point;  the phones do not have dial tones. When dialing in;  the technician only gets a busy signal. Mrs. Webster reported that a technician from AT&T was out working at the school yesterday."; Phones Down at Stiles Point; 80428; Smart jack is dead and there is no dial tone present on 795-1040 and 795-1041. AT&T has been informed.; Stiles Point Elementary; 1/17/19 9:58; 134065
2/6/19 7:57; MARTIN_NIELSON; 1; 2/6/19 7:57; 2/4/19 14:52; "**CALLER STATES THE ISSUE HAS RETURNED**
**Sharon Randall- 9708468865 *GOOD CONTACT NUMBER**
**TESTED AGAIN AND RINGING BUST AGAIN SAME AS THIS MORNING ON OUR END HERE AT HELP DESK**
No incoming/outgoing calls. Caller tested while the technician was on the phone and internal calls are still working from the office to classrooms and vice versa.

Attempted call from tech to school results in an immediate busy signal."; Phone systems are down.; 82677; Vendor repaired issues with the phone lines to the school.; Belle Hall Elementary; 2/6/19 7:57; 137684
2/4/19 9:18; MARTIN_NIELSON; 1; 2/4/19 9:18; 2/4/19 8:19; "No incoming/outgoing calls. Caller tested while the technician was on the phone and internal calls are still working from the office to classrooms and vice versa.

Attempted call from tech to school results in an immediate busy signal."; Phone systems are down.; 82516; Lines are repaired.; Belle Hall Elementary; 2/4/19 9:18; 137684
2/4/19 9:14; WILLIAM_WHITE; 1; 2/4/19 9:14; 2/4/19 8:45; "No incoming/outgoing calls. Caller tested while the technician was on the phone and internal calls are still working from the office to classrooms and vice versa.

Attempted call from tech to school results in an immediate busy signal."; Phone systems are down.; 82525; Phones lines working upon arrival. Performed several test calls in bound and outbound. Checked all lines at d-mark location. All lines up and running; Belle Hall Elementary; 2/4/19 9:14; 137684
2/8/19 14:46; MARTIN_NIELSON; 1; 2/8/19 14:46; 2/7/19 17:41; "843-937-6300  is the number dialed from Jimmie's cell phone.  Believe this was previously communicated.

When Mrs. Williams calls in to calhoun via her cell phone;  it doesn't ring at all. Eventually the call ends. The same thing happens when the technician calls in via Cell Phone;  but not land line. Jimmie Teal's cell phone returned the same response. Two of caller's colleagues are having the same issues. 

Other reports are coming in of dropped calls to Calhoun;  see Incident 139062."; Calhoun Dropped Incoming Calls; 83286; Closing duplicate Task assignment.; Calhoun; 2/8/19 14:46; 139067
2/8/19 14:45; MARTIN_NIELSON; 1; 2/8/19 14:45; 2/7/19 15:17; "When Mrs. Williams calls in to calhoun via her cell phone;  it doesn't ring at all. Eventually the call ends. The same thing happens when the technician calls in via Cell Phone;  but not land line. Jimmie Teal's cell phone returned the same response. Two of caller's colleagues are having the same issues. 

Other reports are coming in of dropped calls to Calhoun;  see Incident 139062."; Calhoun Dropped Incoming Calls; 83277; Made several changes in the switch for local and long distance calling and calls.; Calhoun; 2/8/19 14:45; 139067
2/14/19 13:16; MARTIN_NIELSON; 1; 2/14/19 13:16; 2/14/19 7:17; "West Ashley High cannot make calls in or out. Phones display that they are restarting;  but never finish. When calling the main line to the school and selecting 0;  the call goes to voicemail.
Additionally;  network connectivity is down at parts of the building."; West Ashley HS - Phones down and network down; 84072; Jason repaired the switches.; West Ashley High; 2/14/19 13:16; 140413
2/14/19 10:01; WARREN_DISBROW; 1; 2/14/19 10:01; 2/14/19 7:17; "West Ashley High cannot make calls in or out. Phones display that they are restarting;  but never finish. When calling the main line to the school and selecting 0;  the call goes to voicemail.
Additionally;  network connectivity is down at parts of the building."; West Ashley HS - Phones down and network down; 84073; Reconfigured switches for network access.; West Ashley High; 2/14/19 10:01; 140413
3/1/19 11:06; CATHY_DAVIS; 1; 3/1/19 11:06; 3/1/19 8:25; "School is not receiving incoming calls. A fast busy signal is received when calling the school. They can make outgoing calls.
Main # 843-724-7789"; Simmons-Pinckmey Middle - No incoming calls; 85906; "Phone outage at Mary Ford;  Wando;  Burke;  Hursey;  Simmons Pinckney and Calhoun.  Avaya technical support (Earle) remotely was able to bring all the sites back online."; Simmons-Pinckney Middle; 3/1/19 11:06; 143624
3/1/19 10:49; WILLIAM_WHITE; 1; 3/1/19 10:49; 3/1/19 8:15; "School is not receiving incoming calls. A fast busy signal is received when calling the school. They can make outgoing calls.
Main # 843-724-7789"; Simmons-Pinckmey Middle - No incoming calls; 85903; Network tech worked with Avaya tech to get schools working.; Simmons-Pinckney Middle; 3/1/19 10:49; 143624
3/5/19 9:30; WILLIAM_WHITE; 1; 3/5/19 9:30; 3/5/19 8:17; Mrs. McCumming's phone has no display. Marty called in to report this as a pri1.; No Display; 86249; Econ field tech resolved issue; Calhoun; 3/5/19 9:30; 144208
3/5/19 8:18; EVAN_NEWTON; 1; 3/5/19 8:18; 3/5/19 8:17; Mrs. McCumming's phone has no display. Marty called in to report this as a pri1.; No Display; 86248; Plugged phone back in and verified with Virginia it is working properly now.; Calhoun; 3/5/19 8:18; 144208
3/5/19 8:18; MARTIN_NIELSON; 1; 3/5/19 8:18; 3/5/19 8:09; Mrs. McCumming's phone has no display. Marty called in to report this as a pri1.; No Display; 86244; Gave to Will but Evan was able to fix it.; Calhoun; 3/5/19 8:18; 144208
3/19/19 10:14; WILLIAM_WHITE; 1; 3/19/19 10:14; 3/19/19 10:05; No calls are going in or out throughout all of Carolina Park. Main line: 843-856-8060.; No calls in or out; 87975; Phones working upon arrival. Performed test calls inbound and outbound. Working fine; Carolina Park Elementary; 3/19/19 10:14; 147064
3/19/19 10:06; MARTIN_NIELSON; 1; 3/19/19 10:06; 3/19/19 9:01; No calls are going in or out throughout all of Carolina Park. Main line: 843-856-8060.; No calls in or out; 87952; Assigning to Will.   PRI Circuit looks good remotely.; Carolina Park Elementary; 3/19/19 10:07; 147064
6/13/19 13:36; CATHY_DAVIS; 1; 6/13/19 13:36; 3/21/19 10:15; "The CCSD Security Office and Charleston County Sheriff's office have requested contact + guardian info for Stall HS 9th grader Ja'quinn Smith;  as well as the locking of the student's accounts (Google and Active Directory) to preserve evidence."; "Stall HS student ""porn stored in CCSD account"" investigation for Sheriff's Office"; 88303; Both AD and Google account are still disabled.  Another workorder can be opened when the accounts need to be reactivated.; Bridgeview; 6/13/19 13:36; 147662
6/13/19 13:31; NATHAN_DIAS; 1; 6/13/19 13:31; 3/21/19 10:16; "The CCSD Security Office and Charleston County Sheriff's office have requested contact + guardian info for Stall HS 9th grader Ja'quinn Smith;  as well as the locking of the student's accounts (Google and Active Directory) to preserve evidence."; "Stall HS student ""porn stored in CCSD account"" investigation for Sheriff's Office"; 88305; still no word on completion from NCPD - CCSD Security Office is continuing to monitor and will let I.T. know when it is OK to unlock the student's Google account.; Bridgeview; 6/13/19 13:31; 147662
4/3/19 10:01; MARTIN_NIELSON; 1; 4/3/19 10:01; 4/1/19 8:41; "843-571-2424. When a call is connected;  all that is heard on either end is Static"; "Main number;  unable to take/make calls"; 88583; Vendor repaired the bad phone line to the building.; West Ashley Head Start; 4/3/19 10:01; 148160
4/1/19 14:18; WILLIAM_WHITE; 1; 4/1/19 14:18; 4/1/19 9:25; "843-571-2424. When a call is connected;  all that is heard on either end is Static"; "Main number;  unable to take/make calls"; 88617; "Checked line at d-mark. No dial tone;  passed information to marty to create a trouble ticket with vendor."; West Ashley Head Start; 4/1/19 14:18; 148160
4/1/19 14:17; Derek_Dwight.c; 1; 4/1/19 14:17; 4/1/19 9:25; "843-571-2424. When a call is connected;  all that is heard on either end is Static"; "Main number;  unable to take/make calls"; 88618; "check line at d-mark.no dial tone; passed information to marty to create a trouble ticket with vendor"; West Ashley Head Start; 4/1/19 14:17; 148160
4/15/19 13:30; KYELEN_HALEY; 1; 4/15/19 13:30; 4/15/19 7:02; Employee Self Service website is returning a Runtime Server Error.; ESS Inaccessible District Wide; 90454; ESS is back up and running per TylerTech's communication; Infrastructure  Technology; 4/15/19 13:30; 151223
4/16/19 9:53; Trevor_Kirkpatrick; 1; 4/16/19 9:53; 4/15/19 7:09; www.ccsdschools.com is not loading properly.; CCSDSchools Website - Not Loading; 90461; Website fully operational.; Infrastructure  Technology; 4/16/19 9:53; 151233
5/22/19 10:17; JOHN_RHODES; 1; 5/22/19 10:17; 5/22/19 6:59; Lost 2 drives.  Server is down.; Stono park\Dist 10 Server Is Down; 95225; "Spun up new server;  verified connectivity."; Stono Park Elementary; 5/22/19 10:17; 158613
5/22/19 9:30; DENISE_DAVIS; 1; 5/22/19 9:30; 5/22/19 6:56; Lost 2 drives.  Server is down.; Stono park\Dist 10 Server Is Down; 95224; Created DHCP Scopes for Dist10 Office.; Stono Park Elementary; 5/22/19 9:30; 158613
8/5/19 14:47; MARTIN_NIELSON; 1; 8/5/19 14:47; 8/5/19 8:54; "Caller states they are unable to make or receive calls throughout the school. Tested with multiple extensions. Gets a dial tone;  but does not ring through."; Unable to Make or Receive Calls Throughout School; 100971; AT&T repaired issue with the PRI Circuit.; West Ashley High; 8/5/19 14:47; 168515
8/5/19 11:30; WARREN_DISBROW; 1; 8/5/19 11:30; 8/5/19 8:58; "Caller states they are unable to make or receive calls throughout the school. Tested with multiple extensions. Gets a dial tone;  but does not ring through."; Unable to Make or Receive Calls Throughout School; 100974; Inspected PRI circuit. Circuit down. Alerted Telecom engineers about issue.; West Ashley High; 8/5/19 11:30; 168515
8/27/19 6:36; RYAN_RAESEMANN; 1; 8/27/19 6:36; 8/26/19 14:56; "8437690346- No ringing or busy signal when attempted by technician.
8435564182- Busy ring when calling in from technician.
Caller states that all calls coming into these numbers are not making it into the building. Attempts to call in by tech were met with two different errors;  but neither call was successful."; Incoming calls not coming through.; 105737; "replaced Cisco 3850 in TR3 @ Montessori.  This switch provided the link to Springfield's IP Office.

Service restored"; Montessori Community School; 8/27/19 6:36; 177892
8/26/19 14:57; MARTIN_NIELSON; 1; 8/26/19 14:57; 8/26/19 12:06; "8437690346- No ringing or busy signal when attempted by technician.
8435564182- Busy ring when calling in from technician.
Caller states that all calls coming into these numbers are not making it into the building. Attempts to call in by tech were met with two different errors;  but neither call was successful."; Incoming calls not coming through.; 105594; Worked with Ryan to resolve issue and to show troubleshooting processes.; Montessori Community School; 8/26/19 14:57; 177892
8/28/19 8:47; ALFRED_CROUCHER; 1; 8/28/19 8:47; 8/28/19 7:18; "**Per April Lee_

Please reassign to IT.  This is an issue outside Mary Anna's and my control.

Target: 8/26/2019 2:47:07 PM (UTC -05:00) - America/New_York
Summary: 502 Error trying to get into Data Central
Details:
Data Central is giving the following error trying to log in from the Portal or refreshing the page.

502 - Web server received an invalid response while acting as a gateway or proxy server.
 
---------
Data Central is giving the following error trying to log in from the Portal or refreshing the page.
502 - Web server received an invalid response while acting as a gateway or proxy server."; 502 Error trying to get into Data Central; 106236; We had to restart the service on the CF server.; Calhoun; 8/28/19 8:47; 178043
8/28/19 7:17; THOMAS_SUDLOW; 1; 8/28/19 7:17; 8/26/19 13:47; "Data Central is giving the following error trying to log in from the Portal or refreshing the page.

502 - Web server received an invalid response while acting as a gateway or proxy server."; 502 Error trying to get into Data Central; 105695; "Please reassign to IT.  This is an issue outside Mary Anna's and my control.

Target: 8/26/2019 2:47:07 PM (UTC -05:00) - America/New_York
Summary: 502 Error trying to get into Data Central
Details:
Data Central is giving the following error trying to log in from the Portal or refreshing the page.

502 - Web server received an invalid response while acting as a gateway or proxy server."; Calhoun; 8/28/19 7:17; 178043
8/28/19 10:49; MILES_KEENER; 1; 8/28/19 10:49; 8/28/19 8:57; "Phone lines and internet are down at Mary Ford;  front office and SRO are reporting that it is for the entire school. When calling the main number and hitting 0 for operator;  it goes straight to voicemail. Unable to remote into the SRO's IP address. Various nodes are red in Orion.

10.50.24.107"; MFES - Phones and Internet Down; 106302; Corrected switch issues; Mary Ford Elementary; 8/28/19 10:49; 179176
8/28/19 10:49; MILES_KEENER; 1; 8/28/19 10:49; 8/28/19 8:57; "Phone lines and internet are down at Mary Ford;  front office and SRO are reporting that it is for the entire school. When calling the main number and hitting 0 for operator;  it goes straight to voicemail. Unable to remote into the SRO's IP address. Various nodes are red in Orion.

10.50.24.107"; MFES - Phones and Internet Down; 106303; Corrected switch issues; Mary Ford Elementary; 8/28/19 10:49; 179176
9/9/19 12:58; MARTIN_NIELSON; 1; 9/9/19 12:58; 9/9/19 7:32; "Customer reports phones offline. 
+ Attempted to contact. Main line rang one time then went to voicemail."; Phones Not Functioning; 107320; Worked with tech to resolve issue with vmail and phone server.; Sullivan's Island Elementary; 9/9/19 12:58; 181082
9/9/19 9:09; Bradley_Evans.c; 1; 9/9/19 9:09; 9/9/19 9:07; "Customer reports phones offline. 
+ Attempted to contact. Main line rang one time then went to voicemail."; Phones Not Functioning; 107387; switches had to be reconfigured by networking team. None of the phones in the school were working; Sullivan's Island Elementary; 9/9/19 9:10; 181082
9/9/19 12:57; CODY_LEVITT; 1; 9/9/19 12:57; 9/9/19 11:53; "No inbound or outbound calls to the school. Caller gets dial tone but phone says their waiting for open line.
Front office phone: 843-887-5037
School's main number: 843-723-0863"; No Inbound or Outbound; 107503; Assisted Marty with troubleshooting. Successfully able to make calls now.; St. James-Santee Elementary; 9/9/19 12:57; 181238
9/9/19 12:56; MARTIN_NIELSON; 1; 9/9/19 12:56; 9/9/19 9:12; "No inbound or outbound calls to the school. Caller gets dial tone but phone says their waiting for open line.
Front office phone: 843-887-5037
School's main number: 843-723-0863"; No Inbound or Outbound; 107394; Worked with vendor and field tech to resolve issue with calls and vmail.; St. James-Santee Elementary; 9/9/19 12:56; 181238
9/9/19 12:56; MARTIN_NIELSON; 1; 9/9/19 12:56; 9/9/19 9:17; Customer reports that all attempts to contact any of the phones via their extension numbers results in busy tones.; All Phone Reporting Busy Tone; 107399; Worked with field tech to resolve issue with phones not logged in.; Murray-LaSaine Elementary; 9/9/19 12:56; 181246
9/9/19 12:43; RAIME_RUMBLE; 1; 9/9/19 12:43; 9/9/19 11:52; Customer reports that all attempts to contact any of the phones via their extension numbers results in busy tones. Customer is unable to call out or into the school.; All Phones Reporting Busy Tone; 107501; "With the principal’s help;  we did walk through and disconnect and reconnected all phones. Verified they’re all connected correctly."; Murray-LaSaine Elementary; 9/9/19 12:43; 181246
